time,values
1982-08-01,
1982-09-01,
1982-10-01,
1982-11-01,
1982-12-01,
1983-01-01,
1983-02-01,
1983-03-01,
1983-04-01,
1983-05-01,
1983-06-01,
1983-07-01,
1983-08-01,
1983-09-01,
1983-10-01,
1983-11-01,
1983-12-01,
1984-01-01,
1984-02-01,
1984-03-01,
1984-04-01,
1984-05-01,
1984-06-01,
1984-07-01,
1984-08-01,
1984-09-01,
1984-10-01,
1984-11-01,
1984-12-01,
1985-01-01,
1985-02-01,
1985-03-01,
1985-04-01,
1985-05-01,
1985-06-01,
1985-07-01,
1985-08-01,
1985-09-01,
1985-10-01,
1985-11-01,
1985-12-01,
1986-01-01,
1986-02-01,
1986-03-01,
1986-04-01,
1986-05-01,
1986-06-01,
1986-07-01,
1986-08-01,
1986-09-01,
1986-10-01,
1986-11-01,
1986-12-01,
1987-01-01,
1987-02-01,
1987-03-01,
1987-04-01,
1987-05-01,
1987-06-01,
1987-07-01,
1987-08-01,
1987-09-01,
1987-10-01,
1987-11-01,
1987-12-01,
1988-01-01,
1988-02-01,
1988-03-01,
1988-04-01,
1988-05-01,
1988-06-01,
1988-07-01,
1988-08-01,
1988-09-01,
1988-10-01,
1988-11-01,
1988-12-01,
1989-01-01,
1989-02-01,
1989-03-01,
1989-04-01,
1989-05-01,
1989-06-01,
1989-07-01,
1989-08-01,
1989-09-01,
1989-10-01,
1989-11-01,
1989-12-01,
1990-01-01,
1990-02-01,
1990-03-01,
1990-04-01,
1990-05-01,
1990-06-01,
1990-07-01,
1990-08-01,
1990-09-01,
1990-10-01,
1990-11-01,
1990-12-01,
1991-01-01,
1991-02-01,
1991-03-01,
1991-04-01,
1991-05-01,
1991-06-01,
1991-07-01,
1991-08-01,
1991-09-01,
1991-10-01,
1991-11-01,
1991-12-01,
1992-01-01,
1992-02-01,
1992-03-01,
1992-04-01,
1992-05-01,
1992-06-01,
1992-07-01,
1992-08-01,
1992-09-01,
1992-10-01,
1992-11-01,
1992-12-01,
1993-01-01,
1993-02-01,
1993-03-01,
1993-04-01,
1993-05-01,
1993-06-01,
1993-07-01,
1993-08-01,
1993-09-01,
1993-10-01,
1993-11-01,
1993-12-01,
1994-01-01,
1994-02-01,
1994-03-01,
1994-04-01,
1994-05-01,
1994-06-01,
1994-07-01,
1994-08-01,
1994-09-01,
1994-10-01,
1994-11-01,
1994-12-01,
1995-01-01,
1995-02-01,
1995-03-01,
1995-04-01,
1995-05-01,
1995-06-01,
1995-07-01,
1995-08-01,0.2671
1995-09-01,0.2711
1995-10-01,0.287
1995-11-01,0.3201
1995-12-01,0.3337
1996-01-01,0.3361
1996-02-01,0.3587
1996-03-01,0.3685
1996-04-01,0.3679
1996-05-01,0.3655
1996-06-01,0.3748
1996-07-01,0.3898
1996-08-01,0.4037
1996-09-01,0.4068
1996-10-01,0.4155
1996-11-01,0.4453
1996-12-01,0.4753
1997-01-01,0.603
1997-02-01,0.8125
1997-03-01,0.8322
1997-04-01,0.8073
1997-05-01,0.815
1997-06-01,0.8149
1997-07-01,0.7914
1997-08-01,0.7987
1997-09-01,0.8281
1997-10-01,0.8628
1997-11-01,0.8896
1997-12-01,0.8843
1998-01-01,0.9006
1998-02-01,0.8959
1998-03-01,0.8899
1998-04-01,0.9143
1998-05-01,0.94
1998-06-01,0.9441
1998-07-01,0.9548
1998-08-01,0.9673
1998-09-01,1.0446
1998-10-01,1.1198
1998-11-01,1.1538
1998-12-01,1.2326
1999-01-01,1.3194
1999-02-01,1.3774
1999-03-01,1.5504
1999-04-01,1.5816
1999-05-01,1.6205
1999-06-01,1.6364
1999-07-01,1.647
1999-08-01,1.7058
1999-09-01,1.7186
1999-10-01,1.7884
1999-11-01,1.8067
1999-12-01,1.8201
2000-01-01,1.8592
2000-02-01,1.8396
2000-03-01,1.8527
2000-04-01,1.8692
2000-05-01,1.847
2000-06-01,1.9966
2000-07-01,2.0296
2000-08-01,2.027
2000-09-01,2.0593
2000-10-01,2.0986
2000-11-01,2.1489
2000-12-01,2.2939
2001-01-01,2.4591
2001-02-01,2.4703
2001-03-01,2.4825
2001-04-01,2.487
2001-05-01,2.4918
2001-06-01,2.4705
2001-07-01,2.5273
2001-08-01,2.6846
2001-09-01,2.7556
2001-10-01,2.7889
2001-11-01,2.7797
2001-12-01,2.815
2002-01-01,2.8319
2002-02-01,2.8031
2002-03-01,2.8684
2002-04-01,2.9328
2002-05-01,3.0699
2002-06-01,3.1908
2002-07-01,3.2745
2002-08-01,3.2344
2002-09-01,3.2473
2002-10-01,3.2607
2002-11-01,3.3592
2002-12-01,3.4251
2003-01-01,3.5539
2003-02-01,3.5403
2003-03-01,3.5831
2003-04-01,3.6569
2003-05-01,3.7632
2003-06-01,3.8059
2003-07-01,3.7148
2003-08-01,3.7166
2003-09-01,3.7918
2003-10-01,3.8803
2003-11-01,3.9927
2003-12-01,4.0573
2004-01-01,4.1107
2004-02-01,4.0563
2004-03-01,4.0029
2004-04-01,4.0683
2004-05-01,4.0554
2004-06-01,4.0753
2004-07-01,4.0962
2004-08-01,4.0946
2004-09-01,4.1075
2004-10-01,4.1082
2004-11-01,3.9848
2004-12-01,3.8696
2005-01-01,3.8168
2005-02-01,3.6733
2005-03-01,3.6292
2005-04-01,3.6277
2005-05-01,3.6175
2005-06-01,3.6136
2005-07-01,3.5647
2005-08-01,3.5034
2005-09-01,3.5097
2005-10-01,3.5997
2005-11-01,3.6543
2005-12-01,3.6589
2006-01-01,3.6449
2006-02-01,3.5393
2006-03-01,3.5074
2006-04-01,3.4892
2006-05-01,3.5072
2006-06-01,3.5501
2006-07-01,3.5715
2006-08-01,3.5271
2006-09-01,3.5274
2006-10-01,3.5191
2006-11-01,3.4955
2006-12-01,3.4137
2007-01-01,3.3922
2007-02-01,3.3823
2007-03-01,3.3692
2007-04-01,3.3338
2007-05-01,3.2836
2007-06-01,3.2243
2007-07-01,3.1345
2007-08-01,3.2246
2007-09-01,3.3481
2007-10-01,3.3537
2007-11-01,3.4739
2007-12-01,3.5351
2008-01-01,3.6937
2008-02-01,3.6557
2008-03-01,3.7194
2008-04-01,3.6428
2008-05-01,3.6583
2008-06-01,3.6556
2008-07-01,3.5764
2008-08-01,3.5271
2008-09-01,3.6248
2008-10-01,3.7479
2008-11-01,3.7838
2008-12-01,3.9227
2009-01-01,4.2354
2009-02-01,4.2864
2009-03-01,4.2828
2009-04-01,4.2041
2009-05-01,4.17
2009-06-01,4.2131
2009-07-01,4.2184
2009-08-01,4.2183
2009-09-01,4.242
2009-10-01,4.2871
2009-11-01,4.2896
2009-12-01,4.2284
2010-01-01,4.1383
2010-02-01,4.1196
2010-03-01,4.0866
2010-04-01,4.1306
2010-05-01,4.1767
2010-06-01,4.2434
2010-07-01,4.2608
2010-08-01,4.2396
2010-09-01,4.2655
2010-10-01,4.2787
2010-11-01,4.294
2010-12-01,4.2929
2011-01-01,4.2624
2011-02-01,4.2457
2011-03-01,4.1621
2011-04-01,4.1004
2011-05-01,4.1142
2011-06-01,4.1937
2011-07-01,4.2413
2011-08-01,4.2505
2011-09-01,4.2838
2011-10-01,4.3244
2011-11-01,4.356
2011-12-01,4.3282
2012-01-01,4.3417
2012-02-01,4.3513
2012-03-01,4.3668
2012-04-01,4.3789
2012-05-01,4.4412
2012-06-01,4.4626
2012-07-01,4.5549
2012-08-01,4.5176
2012-09-01,4.5022
2012-10-01,4.5624
2012-11-01,4.5273
2012-12-01,4.4899
2013-01-01,4.3835
2013-02-01,4.3839
2013-03-01,4.3923
2013-04-01,4.378
2013-05-01,4.336
2013-06-01,4.4803
2013-07-01,4.4244
2013-08-01,4.4371
2013-09-01,4.4633
2013-10-01,4.4444
2013-11-01,4.4452
2013-12-01,4.4635
2014-01-01,4.5205
2014-02-01,4.4918
2014-03-01,4.4933
2014-04-01,4.462
2014-05-01,4.4237
2014-06-01,4.393
2014-07-01,4.4098
2014-08-01,4.4252
2014-09-01,4.4095
2014-10-01,4.4153
2014-11-01,4.4287
2014-12-01,4.4583
2015-01-01,4.4874
2015-02-01,4.4334
2015-03-01,4.4339
2015-04-01,4.4155
2015-05-01,4.4477
2015-06-01,4.4671
2015-07-01,4.4391
2015-08-01,4.4235
2015-09-01,4.4236
2015-10-01,4.4227
2015-11-01,4.4453
2015-12-01,4.5033
2016-01-01,4.5311
2016-02-01,4.4814
2016-03-01,4.4666
2016-04-01,4.4724
2016-05-01,4.4991
2016-06-01,4.523
2016-07-01,4.4856
2016-08-01,4.4591
2016-09-01,4.4502
2016-10-01,4.4942
2016-11-01,4.51
2016-12-01,4.5164
2017-01-01,4.5018
2017-02-01,4.5136
2017-03-01,4.5476
2017-04-01,4.5291
2017-05-01,4.5539
2017-06-01,4.5721
2017-07-01,4.5689
2017-08-01,4.5789
2017-09-01,4.5992
2017-10-01,4.5895
2017-11-01,4.6347
2017-12-01,4.6348
2018-01-01,4.6491
2018-02-01,4.6559
2018-03-01,4.6613
2018-04-01,4.6578
2018-05-01,4.6404
2018-06-01,4.6623
2018-07-01,4.6504
2018-08-01,4.6439
2018-09-01,4.6471
2018-10-01,4.6658
2018-11-01,4.661
2018-12-01,4.6536
2019-01-01,4.7062
2019-02-01,4.7486
2019-03-01,4.7546
2019-04-01,4.7584
2019-05-01,4.7594
2019-06-01,4.725
2019-07-01,4.7286
2019-08-01,4.728
2019-09-01,4.7381
2019-10-01,4.7538
2019-11-01,4.7698
2019-12-01,4.7779
2020-01-01,4.7788
2020-02-01,4.7837
2020-03-01,4.8282
2020-04-01,4.8371
2020-05-01,4.8371
2020-06-01,4.8392
2020-07-01,4.8383
2020-08-01,4.8376
2020-09-01,4.8602
2020-10-01,4.8747
2020-11-01,4.8704
2020-12-01,4.8702
2021-01-01,4.8732
2021-02-01,4.875
2021-03-01,4.8884
2021-04-01,4.9231
2021-05-01,4.925
2021-06-01,4.9238
2021-07-01,4.9255
2021-08-01,4.9232
2021-09-01,4.9471
2021-10-01,4.948
2021-11-01,4.9494
2021-12-01,4.9492
2022-01-01,4.9454
2022-02-01,4.9458
2022-03-01,4.9482
2022-04-01,4.9442
2022-05-01,4.946
2022-06-01,4.9444
2022-07-01,4.9396
2022-08-01,4.8943
2022-09-01,4.9097
2022-10-01,4.9259
2022-11-01,4.9142
2022-12-01,4.9224
2023-01-01,4.9242
2023-02-01,4.9087
2023-03-01,4.9263
2023-04-01,4.9365
2023-05-01,4.9477
2023-06-01,4.96
2023-07-01,4.9411
2023-08-01,4.9411
2023-09-01,4.9656
2023-10-01,4.9682
2023-11-01,4.9703
2023-12-01,4.9707
2024-01-01,4.9749
2024-02-01,4.9746
2024-03-01,4.9708
2024-04-01,4.973
2024-05-01,4.9754
2024-06-01,4.9767
2024-07-01,4.973
2024-08-01,4.9766
2024-09-01,4.9744
2024-10-01,4.975
2024-11-01,4.9762
2024-12-01,4.9749
2025-01-01,4.9752
2025-02-01,4.977
2025-03-01,4.9768
2025-04-01,4.9775
2025-05-01,5.0714
2025-06-01,5.0454
2025-07-01,5.0716
2025-08-01,5.0651
2025-09-01,5.074
2025-10-01,5.0872
2025-11-01,5.0867
2025-12-01,5.0913
2026-01-01,5.0919
2026-02-01,5.0945
2026-03-01,5.0954
2026-04-01,5.0991
