time,values
1994-08-01,
1994-09-01,
1994-10-01,
1994-11-01,
1994-12-01,
1995-01-01,
1995-02-01,
1995-03-01,
1995-04-01,
1995-05-01,
1995-06-01,
1995-07-01,
1995-08-01,
1995-09-01,
1995-10-01,
1995-11-01,
1995-12-01,
1996-01-01,
1996-02-01,
1996-03-01,
1996-04-01,
1996-05-01,
1996-06-01,
1996-07-01,
1996-08-01,
1996-09-01,
1996-10-01,
1996-11-01,
1996-12-01,
1997-01-01,
1997-02-01,
1997-03-01,
1997-04-01,
1997-05-01,
1997-06-01,
1997-07-01,
1997-08-01,
1997-09-01,
1997-10-01,
1997-11-01,
1997-12-01,
1998-01-01,
1998-02-01,
1998-03-01,
1998-04-01,
1998-05-01,
1998-06-01,
1998-07-01,
1998-08-01,
1998-09-01,
1998-10-01,
1998-11-01,
1998-12-01,
1999-01-01,
1999-02-01,98.72
1999-03-01,107.04
1999-04-01,114.34
1999-05-01,67.34
1999-06-01,67.3
1999-07-01,57.61
1999-08-01,51.16
1999-09-01,38.8
1999-10-01,37.51
1999-11-01,55.29
1999-12-01,59.46
2000-01-01,61.18
2000-02-01,58.0
2000-03-01,40.0
2000-04-01,32.22
2000-05-01,37.61
2000-06-01,38.06
2000-07-01,33.27
2000-08-01,33.71
2000-09-01,43.1
2000-10-01,44.82
2000-11-01,41.22
2000-12-01,35.93
2001-01-01,43.0
2001-02-01,44.84
2001-03-01,45.15
2001-04-01,45.01
2001-05-01,43.42
2001-06-01,39.91
2001-07-01,34.41
2001-08-01,27.98
2001-09-01,34.65
2001-10-01,30.66
2001-11-01,32.26
2001-12-01,33.44
2002-01-01,34.73
2002-02-01,27.71
2002-03-01,29.2
2002-04-01,25.84
2002-05-01,26.01
2002-06-01,23.64
2002-07-01,20.83
2002-08-01,19.04
2002-09-01,20.77
2002-10-01,18.14
2002-11-01,19.28
2002-12-01,15.25
2003-01-01,16.8
2003-02-01,17.16
2003-03-01,18.22
2003-04-01,17.54
2003-05-01,17.52
2003-06-01,17.7
2003-07-01,17.49
2003-08-01,18.07
2003-09-01,18.39
2003-10-01,18.34
2003-11-01,20.01
2003-12-01,19.02
2004-01-01,19.82
2004-02-01,20.38
2004-03-01,19.77
2004-04-01,19.19
2004-05-01,20.0
2004-06-01,19.79
2004-07-01,18.08
2004-08-01,18.5
2004-09-01,17.43
2004-10-01,18.1
2004-11-01,17.57
2004-12-01,17.12
2005-01-01,13.72
2005-02-01,9.01
2005-03-01,6.36
2005-04-01,6.32
2005-05-01,7.38
2005-06-01,7.52
2005-07-01,7.42
2005-08-01,5.44
2005-09-01,3.2
2005-10-01,1.36
2005-11-01,2.73
2005-12-01,4.53
2006-01-01,4.64
2006-02-01,7.84
2006-03-01,6.09
2006-04-01,7.09
2006-05-01,7.57
2006-06-01,8.73
2006-07-01,6.71
2006-08-01,7.92
2006-09-01,7.45
2006-10-01,7.15
2006-11-01,8.03
2006-12-01,5.42
2007-01-01,3.19
2007-02-01,5.65
2007-03-01,9.09
2007-04-01,9.59
2007-05-01,10.01
2007-06-01,7.78
2007-07-01,4.74
2007-08-01,5.95
2007-09-01,5.82
2007-10-01,6.7
2007-11-01,6.88
2007-12-01,7.2
2008-01-01,7.86
2008-02-01,9.53
2008-03-01,9.27
2008-04-01,10.03
2008-05-01,9.98
2008-06-01,9.62
2008-07-01,9.94
2008-08-01,12.12
2008-09-01,11.33
2008-10-01,18.89
2008-11-01,13.6
2008-12-01,11.73
2009-01-01,12.4
2009-02-01,14.07
2009-03-01,11.81
2009-04-01,9.83
2009-05-01,9.28
2009-06-01,9.45
2009-07-01,8.9
2009-08-01,8.57
2009-09-01,8.72
2009-10-01,9.85
2009-11-01,8.3
2009-12-01,9.91
2010-01-01,6.04
2010-02-01,5.1
2010-03-01,3.69
2010-04-01,3.24
2010-05-01,5.37
2010-06-01,5.05
2010-07-01,3.63
2010-08-01,3.77
2010-09-01,3.6
2010-10-01,3.22
2010-11-01,3.18
2010-12-01,2.81
2011-01-01,2.68
2011-02-01,4.47
2011-03-01,4.17
2011-04-01,3.63
2011-05-01,3.72
2011-06-01,3.59
2011-07-01,3.39
2011-08-01,4.94
2011-09-01,4.63
2011-10-01,5.08
2011-11-01,5.47
2011-12-01,4.97
2012-01-01,2.83
2012-02-01,2.78
2012-03-01,2.67
2012-04-01,3.04
2012-05-01,4.35
2012-06-01,4.38
2012-07-01,3.84
2012-08-01,5.31
2012-09-01,4.45
2012-10-01,4.86
2012-11-01,5.61
2012-12-01,5.52
2013-01-01,5.37
2013-02-01,4.77
2013-03-01,3.68
2013-04-01,2.46
2013-05-01,3.52
2013-06-01,3.34
2013-07-01,4.4
2013-08-01,2.46
2013-09-01,2.54
2013-10-01,2.21
2013-11-01,1.12
2013-12-01,1.4
2014-01-01,1.13
2014-02-01,3.08
2014-03-01,1.41
2014-04-01,2.49
2014-05-01,1.81
2014-06-01,1.46
2014-07-01,1.16
2014-08-01,1.26
2014-09-01,2.95
2014-10-01,1.94
2014-11-01,0.39
2014-12-01,0.32
2015-01-01,0.3
2015-02-01,0.37
2015-03-01,0.73
2015-04-01,1.32
2015-05-01,0.77
2015-06-01,0.46
2015-07-01,0.47
2015-08-01,0.77
2015-09-01,0.9
2015-10-01,0.69
2015-11-01,0.4
2015-12-01,0.37
2016-01-01,0.23
2016-02-01,0.22
2016-03-01,0.24
2016-04-01,0.29
2016-05-01,0.29
2016-06-01,0.28
2016-07-01,0.31
2016-08-01,0.35
2016-09-01,0.3
2016-10-01,0.34
2016-11-01,0.39
2016-12-01,0.36
2017-01-01,0.31
2017-02-01,0.31
2017-03-01,0.32
2017-04-01,0.36
2017-05-01,0.38
2017-06-01,0.35
2017-07-01,0.4
2017-08-01,0.41
2017-09-01,0.55
2017-10-01,1.35
2017-11-01,1.56
2017-12-01,1.13
2018-01-01,0.96
2018-02-01,1.14
2018-03-01,1.23
2018-04-01,1.63
2018-05-01,2.38
2018-06-01,2.78
2018-07-01,2.9
2018-08-01,2.5
2018-09-01,2.21
2018-10-01,2.48
2018-11-01,2.45
2018-12-01,2.0
2019-01-01,2.2
2019-02-01,3.43
2019-03-01,2.29
2019-04-01,3.27
2019-05-01,2.25
2019-06-01,2.38
2019-07-01,2.17
2019-08-01,2.57
2019-09-01,2.27
2019-10-01,2.28
2019-11-01,2.38
2019-12-01,2.74
2020-01-01,2.31
2020-02-01,2.4
2020-03-01,2.38
2020-04-01,2.37
2020-05-01,2.11
2020-06-01,1.87
2020-07-01,2.02
2020-08-01,1.78
2020-09-01,1.69
2020-10-01,1.91
2020-11-01,1.52
2020-12-01,1.47
2021-01-01,0.96
2021-02-01,1.07
2021-03-01,1.51
2021-04-01,1.1
2021-05-01,1.04
2021-06-01,0.98
2021-07-01,1.03
2021-08-01,1.18
2021-09-01,1.16
2021-10-01,1.7
2021-11-01,1.67
2021-12-01,2.14
2022-01-01,1.56
2022-02-01,2.43
2022-03-01,3.62
2022-04-01,3.47
2022-05-01,4.3
2022-06-01,4.42
2022-07-01,4.76
2022-08-01,6.3
2022-09-01,6.13
2022-10-01,6.3
2022-11-01,5.83
2022-12-01,5.76
2023-01-01,5.88
2023-02-01,5.99
2023-03-01,5.92
2023-04-01,5.91
2023-05-01,5.89
2023-06-01,5.92
2023-07-01,5.92
2023-08-01,5.91
2023-09-01,5.91
2023-10-01,5.9
2023-11-01,5.89
2023-12-01,5.89
2024-01-01,5.87
2024-02-01,5.86
2024-03-01,5.86
2024-04-01,5.86
2024-05-01,5.86
2024-06-01,5.86
2024-07-01,5.67
2024-08-01,5.44
2024-09-01,5.37
2024-10-01,5.38
2024-11-01,5.47
2024-12-01,5.51
2025-01-01,5.48
2025-02-01,5.48
2025-03-01,5.46
2025-04-01,5.45
2025-05-01,6.18
2025-06-01,6.32
2025-07-01,5.76
2025-08-01,5.62
2025-09-01,5.61
2025-10-01,5.59
2025-11-01,5.57
2025-12-01,5.56
2026-01-01,5.51
2026-02-01,5.49
2026-03-01,5.58
2026-04-01,5.56
